iter	Logloss
0	0.5609381275
1	0.5277482747
2	0.515009024
3	0.5104797864
4	0.506729509
5	0.5043203441
6	0.502039326
7	0.5005295232
8	0.4987540586
9	0.4973832239
10	0.4965060766
11	0.4954493215
12	0.4946065079
13	0.4933793368
14	0.4928104108
15	0.4918410117
16	0.4912259298
17	0.4905870288
18	0.4896517846
19	0.4892999008
20	0.4886361655
21	0.4879660825
22	0.4870570943
23	0.4864608186
24	0.485994913
25	0.485514263
26	0.4849381331
27	0.4844384104
28	0.4837670032
29	0.4826379294
30	0.4818180782
31	0.4814625538
32	0.480827277
33	0.4800601001
34	0.479738247
35	0.4791091189
36	0.4786882089
37	0.4783734472
38	0.4778637792
39	0.4773365082
40	0.4769590395
41	0.4764999522
42	0.4761155812
43	0.4756628089
44	0.4751879194
45	0.4747360044
46	0.4741579891
47	0.4737313987
48	0.4733614927
49	0.4729627359
50	0.4724909928
51	0.4719460286
52	0.4711320329
53	0.4707632988
54	0.470370476
55	0.469854222
56	0.4693187018
57	0.4688415032
58	0.4683448761
59	0.4680167529
60	0.4675997563
61	0.4672667412
62	0.4670008341
63	0.4666730758
64	0.4662042973
65	0.4658870913
66	0.4652421299
67	0.4647190269
68	0.4644180448
69	0.4640900933
70	0.4637581281
71	0.4633050637
72	0.4628834457
73	0.4625458559
74	0.4621894382
75	0.461734895
76	0.4613446674
77	0.4610113877
78	0.4606577956
79	0.4603504825
80	0.4601125053
81	0.4597254138
82	0.4593736393
83	0.4590631273
84	0.4586573418
85	0.4582340081
86	0.4580392854
87	0.4577492842
88	0.4573680562
89	0.4569325656
90	0.4566435877
91	0.456323595
92	0.4559799803
93	0.455713489
94	0.4553217457
95	0.4547176711
96	0.454407474
97	0.4540188077
98	0.4536508422
99	0.4534749033
100	0.4532028556
101	0.4529054928
102	0.4525076023
103	0.4521267913
104	0.4518490904
105	0.4515427047
106	0.4511919309
107	0.4508447978
108	0.4506046097
109	0.4501550858
110	0.4498887276
111	0.4496492696
112	0.4492520018
113	0.4488649735
114	0.4486019017
115	0.4483317666
116	0.44798177
117	0.4475936773
118	0.4475366159
119	0.4471795095
120	0.4468967302
121	0.4464922958
122	0.4461758239
123	0.4458204507
124	0.4456271787
125	0.44534229
126	0.4450477935
127	0.4447522681
128	0.4444195331
129	0.4440818568
130	0.4437093993
131	0.4434616811
132	0.4431367064
133	0.4428133957
134	0.4424572637
135	0.4421699749
136	0.4418878506
137	0.4416301781
138	0.4413108507
139	0.4410171159
140	0.4406752676
141	0.4403294024
142	0.4400763013
143	0.4397778863
144	0.4394523899
145	0.4391648867
146	0.4389571845
147	0.4386846309
148	0.4384494875
149	0.4380733065
150	0.437830921
151	0.4375480986
152	0.4373361804
153	0.4371179204
154	0.4368170272
155	0.4365255811
156	0.4362024013
157	0.4359767137
158	0.4357480884
159	0.4353874912
160	0.4350904815
161	0.4348404543
162	0.434578949
163	0.4344021656
164	0.4341318609
165	0.433888158
166	0.4336428008
167	0.4334297584
168	0.4332129894
169	0.4329604463
170	0.4327333106
171	0.4326248854
172	0.4323796785
173	0.4320510419
174	0.4318027847
175	0.431415586
176	0.4311687571
177	0.4308659386
178	0.430550006
179	0.4303932313
180	0.430103356
181	0.4298613402
182	0.4295525502
183	0.4292942642
184	0.4292519091
185	0.4290435364
186	0.4287523827
187	0.4283749487
188	0.42812528
189	0.4278809193
190	0.4274537492
191	0.4272079441
192	0.4269794148
193	0.426760584
194	0.4265151815
195	0.4261938745
196	0.4258095956
197	0.4255777812
198	0.4253242559
